Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
heute nacht gibt es an den küsten schauer im süden ebenfalls aber dort lassen sie allmählich nach	ganz im süden kann es einzelne schauer geben an den küsten ziehen gelegentlich wolken durch	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken	am tag halten sich über dem südosten dichte wolken aus denen ein paar schneeflocken fallen	0.86008686	0.8495392	0.8379973	0.8374702	0.8361792
am tag in der nordhälfte etwas regen schnee oder gefrierender regen	örtlich ist gefrierender regen dabei richtung nordosten auch schnee	am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen	am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	0.9159808	0.9152178	0.9073727	0.9030657	0.90038145
am wochenende setzt sich das starke tauwetter fort begleitet von weiteren regenfällen	gewitterschauer örtlich mit hagel starkregen und sturmböen ziehen in der nacht ostwärts im norden regnet es länger	in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter	an der luftmassengrenze kommt es zu teilweise starken und gewittrigen regenfällen	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	nachmittags bilden sich hier in bayern kräftige gewitter	0.8733746	0.8707084	0.8659203	0.85266024	0.8507446
und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober	und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober	und nun die wettervorhersage für morgen samstag den einundzwanzigsten november	und nun die wettervorhersage für morgen freitag den fünfzehnten oktober	und nun die wettervorhersage für morgen donnerstag den einunddreißigsten märz	und nun die wettervorhersage für morgen dienstag den dreizehnten oktober	0.9792622	0.977012	0.9754042	0.972064	0.9711108
in der osthälfte scheint abseits der nebelgebiete häufig die sonne	am freitag scheint abseits der nebelgebiete häufig die sonne	am samstag regnet es im südosten und an der ostsee dort ist es teilweise windig sonst regnet es nur vereinzelt teilweise zeigt sich die sonne	und morgen vormittag beziehungsweise bis zum nachmittag wahrscheinlich sogar noch scheint in der osthälfte noch die sonne	es scheint häufig die sonne	nach dessen auflösung scheint morgen verbreitet die sonne	0.96444416	0.895962	0.8852527	0.8771272	0.8728796
richtung westen gibt es im tagesverlauf vermehrt wolken es bleibt aber weitgehend trocken	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	im nordosten bleibt es meist trocken	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	0.9083434	0.8997179	0.89944893	0.894499	0.89046586
im süden gibt es zu beginn der nacht noch wolken die hier und da auch noch ein paar tropfen fallen lassen sonst ist es meist klar oder nur locker bewölkt	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	am samstag schneit es gebietsweise leicht ganz im norden lichtblicke	heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	in einem streifen vom emsland bis zur lausitz sind dichte wolken unterwegs sonst ist es teils klar teils locker bewölkt	0.90168345	0.900177	0.89910895	0.89664584	0.89621216
vor allem im nordwesten sowie in bayern bildet sich nebel	besonders in flusstälern bildet sich nebel	im westen und nordwesten weitgehend trocken hier und da wolkenlücken örtlich bildet sich nebel	heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel	sonst aber funkeln oft die sterne oder es bildet sich nebel	besonders in der südwesthälfte bildet sich nebel richtung nordosten auch wolkenlücken	0.9355571	0.92626154	0.8679833	0.8553618	0.8490047
nach dessen auflösung scheint morgen verbreitet die sonne	sobald sich der nebel am tag lichtet scheint die sonne	und morgen vormittag beziehungsweise bis zum nachmittag wahrscheinlich sogar noch scheint in der osthälfte noch die sonne	morgen scheint dann wieder überall die sonne	am freitag scheint abseits der nebelgebiete häufig die sonne	es scheint häufig die sonne	0.9285313	0.91673195	0.89853716	0.8900728	0.886609
sonst sorgt die hochdruckzone die vom atlantik bis nach skandinavien reicht für freundliches wetter	es sorgt morgen dort für ruhiges freundliches wetter	im süden freundliches wetter	das tief bei schottland sorgt zusammen mit kühler luft auch morgen für wechselhaftes wetter	deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	0.9282463	0.8862944	0.8806376	0.8619445	0.8533536
am tag sieben grad an der ostsee und fünfzehn grad am rhein	am tag sechs grad an den alpen und dreizehn grad am oberrhein	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	am tag neunzehn grad an der nordsee und sechsundzwanzig grad in teilen thüringens und sachsens	am tag vier grad im sauerland und zwölf grad im breisgau	am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein	0.93705165	0.9347766	0.9314629	0.92898405	0.92865574
am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	denn im süden haben wir die schwül warme gewitterluft dabei ist es aber noch im süden sonnig	am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	0.93081	0.9094757	0.9088555	0.90377915	0.9023752
ganz im süden sind einzelne schauer möglich	die halten sich morgen recht zäh	sonst einzelne schauer an der nordsee auch gewitter	ganz im süden kann es einzelne schauer geben an den küsten ziehen gelegentlich wolken durch	im osten und südosten sind zu beginn der nacht einzelne gewittrige schauer möglich	in den bergen anfangs ist auch schnee dabei	0.86842704	0.8664559	0.8647017	0.8627257	0.86004716
sobald sich der nebel am tag lichtet scheint die sonne	nach dessen auflösung scheint morgen verbreitet die sonne	morgen scheint dann wieder überall die sonne	der sternenklare himmel im westen der täuscht denn morgen wird es wieder regnen	der regen zieht im laufe der nacht richtung main	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	0.9285313	0.89678687	0.89603275	0.88483316	0.8836632
ganz im süden kann es einzelne schauer geben an den küsten ziehen gelegentlich wolken durch	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	ganz im süden sind einzelne schauer möglich	heute nacht noch nicht so ganz da haben wir noch ein bisschen mit regen zu kämpfen an den küsten	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	0.8740305	0.86518824	0.8647017	0.86390233	0.863137
im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen	schwacher bis mäßiger auf den bergen in böen auch starker wind in der nordhälfte aus ost bis nordost sonst aus unterschiedlichen richtungen	dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen	der wind weht meist schwach aus unterschiedlichen richtungen	der wind weht schwach bis mäßig an der nordsee und im bergland auch frischer wind	0.931396	0.93118227	0.9263199	0.92151654	0.9202077
darunter zum teil schneeregen	am tag vor allem im norden regen	im osten und südosten auch schnee oder schneeregen	heute nacht gibt es an der oder noch einzelne schneeschauer	im bergland zum teil schnee an den alpen auch für längere zeit regen oder schnee	auch am tag viele wolken und einzelne flocken	0.81381434	0.8123665	0.8072903	0.8057779	0.80473685
im norden wird es dagegen noch trocken sein	in den alpen wird es dann sogar schneien	in der südhälfte muss dazu mit nachtfrost gerechnet werden	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	im nordosten bleibt es meist trocken	dort auch bei leichten plusgraden aber sonst bleibt es frostig	0.89507335	0.8817489	0.8725261	0.8687626	0.8682041
da haben wir am morgen schnee und schneeregen	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	in den bergen anfangs ist auch schnee dabei	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	ganz im norden fällt hier und da schnee	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	0.88826257	0.8865248	0.8771437	0.87674737	0.87631476
samstag beruhigt es sich etwas	am freitag beruhigt sich das wetter wieder	am samstag ist es wieder unbeständig	im westen und nordwesten beruhigt sich das wetter später wieder	richtung westen gibt es im tagesverlauf vermehrt wolken es bleibt aber weitgehend trocken	die gibt es auch am montag bei insgesamt wieder mehr wolken aber es bleibt weiterhin warm und auch noch längere zeit freundlich	0.89498925	0.8818643	0.8668154	0.8600922	0.85977316
und etwas kälter wird es dann im laufe des sonntags von osten	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	heute nacht wird es aber nochmal ziemlich eisig vor allen dingen in den mittelgebirgen	0.910647	0.8955834	0.88914526	0.88833	0.88801086
ich wünsche ihnen einen schönen abend und machen sie es gut	ich wünsche ihnen einen schönen abend und machen sie es gut	ich wünsche ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	0.9999997	0.93348837	0.92101306	0.92101306	0.92101306
teilweise ist es auch klar	in der kommenden nacht ist es meist klar	in der mitte lockert es auch mal auf	ganz im süden sind einzelne schauer möglich	dazwischen ist es freundlicher	im westen ist es freundlich	0.85138226	0.8229746	0.8115418	0.79923743	0.79521805
im süden entladen sich später hier und da heftige gewitter	nachmittags bilden sich hier in bayern kräftige gewitter	von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter	am sonntag ziehen von nordwesten wieder schauer und gewitter heran	0.91995203	0.8941243	0.89335334	0.88535845	0.8830453
heute nacht schwül warme dreizehn bis achtzehn grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	am hochrhein morgen schwül warme dreißig an der nordsee frische achtzehn grad	im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	0.94752544	0.94095075	0.9375518	0.9313476	0.9305668
